kernel_name,kernel_type,stream_id,task_id,task_time(us),task_start(ns),task_stop(ns)
119/Conv2D_tvmbin,kernel AI core task,4,4764,"""34.53""","""1624688157288566104""","""1624688157288600634"""
N/A,event record task,4,4766,"""0.01""","""1624688157288638304""","""1624688157288638314"""
59/PtAdd_tvmbin,kernel AI core task,4,4767,"""1.44""","""1624688157288638414""","""1624688157288639854"""
115/atomic_addr_clean-1_115_0_tvmbin,kernel AI core task,4,4768,"""1.2""","""1624688157288639964""","""1624688157288641164"""
115/BNTrainingReduce_tvmbin,kernel AI core task,4,4769,"""43.25""","""1624688157288641274""","""1624688157288684524"""
116/BNTrainingUpdate_tvmbin,kernel AI core task,4,4770,"""53.24""","""1624688157288684634""","""1624688157288737874"""
117/Relu_tvmbin,kernel AI core task,4,4771,"""59.16""","""1624688157288737984""","""1624688157288797144"""
N/A,memory copy task,4,4772,"""0.96""","""1624688157288797304""","""1624688157288798264"""
122/trans_TransposeD_119_tvmbin,kernel AI core task,4,4773,"""4.63""","""1624688157288798374""","""1624688157288803004"""
122/trans_TransData_120_tvmbin,kernel AI core task,4,4774,"""4.43""","""1624688157288803154""","""1624688157288807584"""
122/DepthwiseConv2D_tvmbin,kernel AI core task,4,4775,"""1382.64""","""1624688157288807694""","""1624688157290190334"""
119/Conv2D_tvmbin,kernel AI core task,4,4776,"""33.62""","""1624688157290190494""","""1624688157290224114"""
N/A,event record task,4,4778,"""0.01""","""1624688157290258094""","""1624688157290258104"""
59/PtAdd_tvmbin,kernel AI core task,4,4779,"""1.39""","""1624688157290258204""","""1624688157290259594"""
115/atomic_addr_clean-1_115_0_tvmbin,kernel AI core task,4,4780,"""1.32""","""1624688157290259704""","""1624688157290261024"""
115/BNTrainingReduce_tvmbin,kernel AI core task,4,4781,"""43.9""","""1624688157290261134""","""1624688157290305034"""
116/BNTrainingUpdate_tvmbin,kernel AI core task,4,4782,"""56.23""","""1624688157290305144""","""1624688157290361374"""
117/Relu_tvmbin,kernel AI core task,4,4783,"""30.06""","""1624688157290361494""","""1624688157290391554"""
N/A,memory copy task,4,4784,"""0.96""","""1624688157290391704""","""1624688157290392664"""
122/trans_TransposeD_119_tvmbin,kernel AI core task,4,4785,"""3.91""","""1624688157290392764""","""1624688157290396674"""
122/trans_TransData_120_tvmbin,kernel AI core task,4,4786,"""4.22""","""1624688157290396834""","""1624688157290401054"""
122/DepthwiseConv2D_tvmbin,kernel AI core task,4,4787,"""1381.68""","""1624688157290401174""","""1624688157291782854"""
119/Conv2D_tvmbin,kernel AI core task,4,4788,"""33.9""","""1624688157291783004""","""1624688157291816904"""
N/A,event record task,4,4790,"""0.01""","""1624688157291848384""","""1624688157291848394"""
59/PtAdd_tvmbin,kernel AI core task,4,4791,"""1.34""","""1624688157291848494""","""1624688157291849834"""
115/atomic_addr_clean-1_115_0_tvmbin,kernel AI core task,4,4792,"""1.38""","""1624688157291849944""","""1624688157291851324"""
115/BNTrainingReduce_tvmbin,kernel AI core task,4,4793,"""43.55""","""1624688157291851434""","""1624688157291894984"""
116/BNTrainingUpdate_tvmbin,kernel AI core task,4,4794,"""51.83""","""1624688157291895094""","""1624688157291946924"""
123/Add_tvmbin,kernel AI core task,4,4795,"""50.47""","""1624688157291947034""","""1624688157291997504"""
125/AvgPool_tvmbin,kernel AI core task,4,4796,"""98.86""","""1624688157291997654""","""1624688157292096514"""
123/Add_tvmbin,kernel AI core task,4,4797,"""60.43""","""1624688157292096624""","""1624688157292157054"""
125/AvgPool_tvmbin,kernel AI core task,4,4798,"""92.66""","""1624688157292157174""","""1624688157292249834"""
125/AvgPool_tvmbin,kernel AI core task,4,4799,"""92.75""","""1624688157292250014""","""1624688157292342764"""
123/Add_tvmbin,kernel AI core task,4,4800,"""48.35""","""1624688157292342914""","""1624688157292391264"""
117/Relu_tvmbin,kernel AI core task,4,4801,"""63.58""","""1624688157292391454""","""1624688157292455034"""
N/A,memory copy task,4,4802,"""0.87""","""1624688157292455224""","""1624688157292456094"""
122/trans_TransposeD_119_tvmbin,kernel AI core task,4,4803,"""4.06""","""1624688157292456204""","""1624688157292460264"""
122/trans_TransData_120_tvmbin,kernel AI core task,4,4804,"""4.46""","""1624688157292460444""","""1624688157292464904"""
122/DepthwiseConv2D_tvmbin,kernel AI core task,4,4805,"""1387.14""","""1624688157292465014""","""1624688157293852154"""
119/Conv2D_tvmbin,kernel AI core task,4,4806,"""32.77""","""1624688157293852314""","""1624688157293885084"""
N/A,event record task,4,4808,"""0.01""","""1624688157293917324""","""1624688157293917334"""
59/PtAdd_tvmbin,kernel AI core task,4,4809,"""1.43""","""1624688157293917464""","""1624688157293918894"""
115/atomic_addr_clean-1_115_0_tvmbin,kernel AI core task,4,4810,"""1.49""","""1624688157293919004""","""1624688157293920494"""
115/BNTrainingReduce_tvmbin,kernel AI core task,4,4811,"""43.63""","""1624688157293920604""","""1624688157293964234"""
116/BNTrainingUpdate_tvmbin,kernel AI core task,4,4812,"""58.04""","""1624688157293964344""","""1624688157294022384"""
117/Relu_tvmbin,kernel AI core task,4,4813,"""29.87""","""1624688157294022534""","""1624688157294052404"""
N/A,memory copy task,4,4814,"""1.04""","""1624688157294052554""","""1624688157294053594"""
122/trans_TransposeD_119_tvmbin,kernel AI core task,4,4815,"""4.49""","""1624688157294053694""","""1624688157294058184"""
122/trans_TransData_120_tvmbin,kernel AI core task,4,4816,"""4.29""","""1624688157294058304""","""1624688157294062594"""
122/DepthwiseConv2D_tvmbin,kernel AI core task,4,4817,"""1382.74""","""1624688157294062704""","""1624688157295445444"""
119/Conv2D_tvmbin,kernel AI core task,4,4818,"""33.42""","""1624688157295445594""","""1624688157295479014"""
N/A,event record task,4,4820,"""0.0""","""1624688157295512394""","""1624688157295512394"""
59/PtAdd_tvmbin,kernel AI core task,4,4821,"""1.29""","""1624688157295512894""","""1624688157295514184"""
115/atomic_addr_clean-1_115_0_tvmbin,kernel AI core task,4,4822,"""1.27""","""1624688157295514294""","""1624688157295515564"""
115/BNTrainingReduce_tvmbin,kernel AI core task,4,4823,"""43.18""","""1624688157295515674""","""1624688157295558854"""
116/BNTrainingUpdate_tvmbin,kernel AI core task,4,4824,"""51.85""","""1624688157295558974""","""1624688157295610824"""
123/Add_tvmbin,kernel AI core task,4,4825,"""68.12""","""1624688157295610934""","""1624688157295679054"""
132/trans_TransData_134_tvmbin,kernel AI core task,4,4826,"""56.08""","""1624688157326220804""","""1624688157326276884"""
132/trans_TransData_135_tvmbin,kernel AI core task,4,4827,"""58.83""","""1624688157326307224""","""1624688157326366054"""
132/trans_TransData_136_tvmbin,kernel AI core task,4,4828,"""61.17""","""1624688157326521044""","""1624688157326582214"""
132/trans_TransData_137_tvmbin,kernel AI core task,4,4829,"""60.1""","""1624688157326582364""","""1624688157326642464"""
132/trans_TransData_138_tvmbin,kernel AI core task,4,4830,"""59.96""","""1624688157326642614""","""1624688157326702574"""
132/trans_TransData_139_tvmbin,kernel AI core task,4,4831,"""59.32""","""1624688157326702694""","""1624688157326762014"""
132/ConcatD_tvmbin,kernel AI core task,4,4832,"""318.62""","""1624688157326762124""","""1624688157327080744"""
130/Relu_tvmbin,kernel AI core task,4,4833,"""318.98""","""1624688157327080894""","""1624688157327399874"""
131/trans_TransData_133_tvmbin,kernel AI core task,4,4834,"""318.44""","""1624688157327400024""","""1624688157327718464"""
131/Conv2D_tvmbin,kernel AI core task,4,4835,"""206.77""","""1624688157327718624""","""1624688157327925394"""
N/A,event record task,4,4837,"""0.0""","""1624688157327964704""","""1624688157327964704"""
59/PtAdd_tvmbin,kernel AI core task,4,4838,"""1.57""","""1624688157327964934""","""1624688157327966504"""
115/atomic_addr_clean-1_115_0_tvmbin,kernel AI core task,4,4839,"""1.48""","""1624688157327966694""","""1624688157327968174"""
115/BNTrainingReduce_tvmbin,kernel AI core task,4,4840,"""43.26""","""1624688157327968284""","""1624688157328011544"""
116/BNTrainingUpdate_tvmbin,kernel AI core task,4,4841,"""50.0""","""1624688157328011654""","""1624688157328061654"""
130/Relu_tvmbin,kernel AI core task,4,4842,"""307.64""","""1624688157328061764""","""1624688157328369404"""
131/trans_TransData_133_tvmbin,kernel AI core task,4,4843,"""318.29""","""1624688157328369554""","""1624688157328687844"""
131/Conv2D_tvmbin,kernel AI core task,4,4844,"""196.69""","""1624688157328687994""","""1624688157328884684"""
N/A,event record task,4,4846,"""0.01""","""1624688157328922614""","""1624688157328922624"""
59/PtAdd_tvmbin,kernel AI core task,4,4847,"""1.44""","""1624688157328922724""","""1624688157328924164"""
115/atomic_addr_clean-1_115_0_tvmbin,kernel AI core task,4,4848,"""1.33""","""1624688157328924324""","""1624688157328925654"""
115/BNTrainingReduce_tvmbin,kernel AI core task,4,4849,"""43.64""","""1624688157328925764""","""1624688157328969404"""
116/BNTrainingUpdate_tvmbin,kernel AI core task,4,4850,"""48.0""","""1624688157328969514""","""1624688157329017514"""
117/Relu_tvmbin,kernel AI core task,4,4851,"""30.41""","""1624688157329017624""","""1624688157329048034"""
N/A,memory copy task,4,4852,"""1.02""","""1624688157329048144""","""1624688157329049164"""
118/trans_TransposeD_114_tvmbin,kernel AI core task,4,4853,"""7.02""","""1624688157329126504""","""1624688157329133524"""
118/trans_TransData_115_tvmbin,kernel AI core task,4,4854,"""5.04""","""1624688157329165954""","""1624688157329170994"""
118/DepthwiseConv2D_tvmbin,kernel AI core task,4,4855,"""1599.01""","""1624688157329197294""","""1624688157330796304"""
119/Conv2D_tvmbin,kernel AI core task,4,4856,"""33.03""","""1624688157330796454""","""1624688157330829484"""
N/A,event record task,4,4858,"""0.01""","""1624688157330873334""","""1624688157330873344"""
59/PtAdd_tvmbin,kernel AI core task,4,4859,"""1.38""","""1624688157330873444""","""1624688157330874824"""
115/atomic_addr_clean-1_115_0_tvmbin,kernel AI core task,4,4860,"""1.37""","""1624688157330874934""","""1624688157330876304"""
115/BNTrainingReduce_tvmbin,kernel AI core task,4,4861,"""43.47""","""1624688157330876414""","""1624688157330919884"""
116/BNTrainingUpdate_tvmbin,kernel AI core task,4,4862,"""47.67""","""1624688157330919994""","""1624688157330967664"""
117/Relu_tvmbin,kernel AI core task,4,4863,"""31.38""","""1624688157330967774""","""1624688157330999154"""
N/A,memory copy task,4,4864,"""0.87""","""1624688157330999264""","""1624688157331000134"""
118/trans_TransposeD_114_tvmbin,kernel AI core task,4,4865,"""7.34""","""1624688157331000244""","""1624688157331007584"""
118/trans_TransData_115_tvmbin,kernel AI core task,4,4866,"""4.83""","""1624688157331007704""","""1624688157331012534"""
118/DepthwiseConv2D_tvmbin,kernel AI core task,4,4867,"""1606.93""","""1624688157331012644""","""1624688157332619574"""
119/Conv2D_tvmbin,kernel AI core task,4,4868,"""33.61""","""1624688157332619734""","""1624688157332653344"""
N/A,event record task,4,4870,"""0.01""","""1624688157332698994""","""1624688157332699004"""
59/PtAdd_tvmbin,kernel AI core task,4,4871,"""1.39""","""1624688157332699104""","""1624688157332700494"""
115/atomic_addr_clean-1_115_0_tvmbin,kernel AI core task,4,4872,"""1.2""","""1624688157332700684""","""1624688157332701884"""
115/BNTrainingReduce_tvmbin,kernel AI core task,4,4873,"""43.5""","""1624688157332701994""","""1624688157332745494"""
116/BNTrainingUpdate_tvmbin,kernel AI core task,4,4874,"""48.09""","""1624688157332745604""","""1624688157332793694"""
117/Relu_tvmbin,kernel AI core task,4,4875,"""71.7""","""1624688157332793814""","""1624688157332865514"""
N/A,memory copy task,4,4876,"""0.91""","""1624688157332865624""","""1624688157332866534"""
122/trans_TransposeD_119_tvmbin,kernel AI core task,4,4877,"""4.73""","""1624688157332866634""","""1624688157332871364"""
122/trans_TransData_120_tvmbin,kernel AI core task,4,4878,"""4.48""","""1624688157332871474""","""1624688157332875954"""
122/DepthwiseConv2D_tvmbin,kernel AI core task,4,4879,"""1393.41""","""1624688157332876064""","""1624688157334269474"""
119/Conv2D_tvmbin,kernel AI core task,4,4880,"""33.6""","""1624688157334269624""","""1624688157334303224"""
N/A,event record task,4,4882,"""0.01""","""1624688157334349024""","""1624688157334349034"""
59/PtAdd_tvmbin,kernel AI core task,4,4883,"""1.45""","""1624688157334349134""","""1624688157334350584"""
115/atomic_addr_clean-1_115_0_tvmbin,kernel AI core task,4,4884,"""1.6""","""1624688157334350774""","""1624688157334352374"""
115/BNTrainingReduce_tvmbin,kernel AI core task,4,4885,"""43.74""","""1624688157334352554""","""1624688157334396294"""
116/BNTrainingUpdate_tvmbin,kernel AI core task,4,4886,"""56.64""","""1624688157334396484""","""1624688157334453124"""
117/Relu_tvmbin,kernel AI core task,4,4887,"""30.15""","""1624688157334453234""","""1624688157334483384"""
N/A,memory copy task,4,4888,"""0.93""","""1624688157334483494""","""1624688157334484424"""
122/trans_TransposeD_119_tvmbin,kernel AI core task,4,4889,"""3.83""","""1624688157334484524""","""1624688157334488354"""
122/trans_TransData_120_tvmbin,kernel AI core task,4,4890,"""4.33""","""1624688157334488464""","""1624688157334492794"""
122/DepthwiseConv2D_tvmbin,kernel AI core task,4,4891,"""1384.53""","""1624688157334492904""","""1624688157335877434"""
119/Conv2D_tvmbin,kernel AI core task,4,4892,"""33.75""","""1624688157335877594""","""1624688157335911344"""
N/A,event record task,4,4894,"""0.01""","""1624688157335964764""","""1624688157335964774"""
59/PtAdd_tvmbin,kernel AI core task,4,4895,"""1.45""","""1624688157335964874""","""1624688157335966324"""
115/atomic_addr_clean-1_115_0_tvmbin,kernel AI core task,4,4896,"""1.28""","""1624688157335966474""","""1624688157335967754"""
115/BNTrainingReduce_tvmbin,kernel AI core task,4,4897,"""43.59""","""1624688157335967904""","""1624688157336011494"""
116/BNTrainingUpdate_tvmbin,kernel AI core task,4,4898,"""54.23""","""1624688157336011604""","""1624688157336065834"""
123/Add_tvmbin,kernel AI core task,4,4899,"""43.28""","""1624688157336065984""","""1624688157336109264"""
117/Relu_tvmbin,kernel AI core task,4,4900,"""67.57""","""1624688157336109374""","""1624688157336176944"""
N/A,memory copy task,4,4901,"""0.86""","""1624688157336177054""","""1624688157336177914"""
118/trans_TransposeD_114_tvmbin,kernel AI core task,4,4902,"""7.82""","""1624688157336178024""","""1624688157336185844"""
118/trans_TransData_115_tvmbin,kernel AI core task,4,4903,"""5.13""","""1624688157336185954""","""1624688157336191084"""
118/DepthwiseConv2D_tvmbin,kernel AI core task,4,4904,"""1664.16""","""1624688157336191194""","""1624688157337855354"""
119/Conv2D_tvmbin,kernel AI core task,4,4905,"""34.09""","""1624688157337855514""","""1624688157337889604"""
N/A,event record task,4,4907,"""0.01""","""1624688157337930244""","""1624688157337930254"""
59/PtAdd_tvmbin,kernel AI core task,4,4908,"""1.39""","""1624688157337930384""","""1624688157337931774"""
115/atomic_addr_clean-1_115_0_tvmbin,kernel AI core task,4,4909,"""1.34""","""1624688157337931894""","""1624688157337933234"""
115/BNTrainingReduce_tvmbin,kernel AI core task,4,4910,"""43.86""","""1624688157337933344""","""1624688157337977204"""
116/BNTrainingUpdate_tvmbin,kernel AI core task,4,4911,"""56.52""","""1624688157337977314""","""1624688157338033834"""
117/Relu_tvmbin,kernel AI core task,4,4912,"""29.8""","""1624688157338033984""","""1624688157338063784"""
N/A,memory copy task,4,4913,"""0.96""","""1624688157338063894""","""1624688157338064854"""
118/trans_TransposeD_114_tvmbin,kernel AI core task,4,4914,"""7.45""","""1624688157338064954""","""1624688157338072404"""
118/trans_TransData_115_tvmbin,kernel AI core task,4,4915,"""4.81""","""1624688157338072514""","""1624688157338077324"""
118/DepthwiseConv2D_tvmbin,kernel AI core task,4,4916,"""1653.09""","""1624688157338077434""","""1624688157339730524"""
119/Conv2D_tvmbin,kernel AI core task,4,4917,"""34.03""","""1624688157339730634""","""1624688157339764664"""
N/A,event record task,4,4919,"""0.01""","""1624688157339802574""","""1624688157339802584"""
59/PtAdd_tvmbin,kernel AI core task,4,4920,"""1.44""","""1624688157339802724""","""1624688157339804164"""
115/atomic_addr_clean-1_115_0_tvmbin,kernel AI core task,4,4921,"""1.24""","""1624688157339804274""","""1624688157339805514"""
115/BNTrainingReduce_tvmbin,kernel AI core task,4,4922,"""43.37""","""1624688157339805624""","""1624688157339848994"""
116/BNTrainingUpdate_tvmbin,kernel AI core task,4,4923,"""54.53""","""1624688157339849104""","""1624688157339903634"""
117/Relu_tvmbin,kernel AI core task,4,4924,"""58.02""","""1624688157339903754""","""1624688157339961774"""
N/A,memory copy task,4,4925,"""0.98""","""1624688157339961884""","""1624688157339962864"""
122/trans_TransposeD_119_tvmbin,kernel AI core task,4,4926,"""4.51""","""1624688157339962964""","""1624688157339967474"""
122/trans_TransData_120_tvmbin,kernel AI core task,4,4927,"""4.49""","""1624688157339967594""","""1624688157339972084"""
122/DepthwiseConv2D_tvmbin,kernel AI core task,4,4928,"""1384.9""","""1624688157339972194""","""1624688157341357094"""
119/Conv2D_tvmbin,kernel AI core task,4,4929,"""33.51""","""1624688157341357244""","""1624688157341390754"""
N/A,event record task,4,4931,"""0.01""","""1624688157341427504""","""1624688157341427514"""
59/PtAdd_tvmbin,kernel AI core task,4,4932,"""1.44""","""1624688157341427644""","""1624688157341429084"""
115/atomic_addr_clean-1_115_0_tvmbin,kernel AI core task,4,4933,"""1.36""","""1624688157341429194""","""1624688157341430554"""
115/BNTrainingReduce_tvmbin,kernel AI core task,4,4934,"""43.6""","""1624688157341430664""","""1624688157341474264"""
116/BNTrainingUpdate_tvmbin,kernel AI core task,4,4935,"""54.97""","""1624688157341474374""","""1624688157341529344"""
117/Relu_tvmbin,kernel AI core task,4,4936,"""29.65""","""1624688157341529454""","""1624688157341559104"""
N/A,memory copy task,4,4937,"""0.86""","""1624688157341559264""","""1624688157341560124"""
122/trans_TransposeD_119_tvmbin,kernel AI core task,4,4938,"""3.95""","""1624688157341560224""","""1624688157341564174"""
122/trans_TransData_120_tvmbin,kernel AI core task,4,4939,"""4.34""","""1624688157341564284""","""1624688157341568624"""
122/DepthwiseConv2D_tvmbin,kernel AI core task,4,4940,"""1373.45""","""1624688157341568734""","""1624688157342942184"""
119/Conv2D_tvmbin,kernel AI core task,4,4941,"""33.7""","""1624688157342942344""","""1624688157342976044"""
N/A,event record task,4,4943,"""0.01""","""1624688157343012024""","""1624688157343012034"""
59/PtAdd_tvmbin,kernel AI core task,4,4944,"""1.71""","""1624688157343012164""","""1624688157343013874"""
115/atomic_addr_clean-1_115_0_tvmbin,kernel AI core task,4,4945,"""1.38""","""1624688157343014064""","""1624688157343015444"""
115/BNTrainingReduce_tvmbin,kernel AI core task,4,4946,"""43.16""","""1624688157343015634""","""1624688157343058794"""
116/BNTrainingUpdate_tvmbin,kernel AI core task,4,4947,"""53.7""","""1624688157343058904""","""1624688157343112604"""
123/Add_tvmbin,kernel AI core task,4,4948,"""45.36""","""1624688157343112724""","""1624688157343158084"""
125/AvgPool_tvmbin,kernel AI core task,4,4949,"""101.04""","""1624688157343158194""","""1624688157343259234"""
123/Add_tvmbin,kernel AI core task,4,4950,"""60.37""","""1624688157343259344""","""1624688157343319714"""
125/AvgPool_tvmbin,kernel AI core task,4,4951,"""93.25""","""1624688157343319834""","""1624688157343413084"""
125/AvgPool_tvmbin,kernel AI core task,4,4952,"""93.17""","""1624688157343413194""","""1624688157343506364"""
123/Add_tvmbin,kernel AI core task,4,4953,"""48.13""","""1624688157343506514""","""1624688157343554644"""
117/Relu_tvmbin,kernel AI core task,4,4954,"""60.04""","""1624688157343554764""","""1624688157343614804"""
N/A,memory copy task,4,4955,"""0.84""","""1624688157343614914""","""1624688157343615754"""
122/trans_TransposeD_119_tvmbin,kernel AI core task,4,4956,"""4.62""","""1624688157343615854""","""1624688157343620474"""
122/trans_TransData_120_tvmbin,kernel AI core task,4,4957,"""4.3""","""1624688157343620584""","""1624688157343624884"""
122/DepthwiseConv2D_tvmbin,kernel AI core task,4,4958,"""1392.82""","""1624688157343624994""","""1624688157345017814"""
119/Conv2D_tvmbin,kernel AI core task,4,4959,"""33.65""","""1624688157345017974""","""1624688157345051624"""
N/A,event record task,4,4961,"""0.01""","""1624688157345087934""","""1624688157345087944"""
59/PtAdd_tvmbin,kernel AI core task,4,4962,"""1.44""","""1624688157345088174""","""1624688157345089614"""
115/atomic_addr_clean-1_115_0_tvmbin,kernel AI core task,4,4963,"""1.33""","""1624688157345089724""","""1624688157345091054"""
115/BNTrainingReduce_tvmbin,kernel AI core task,4,4964,"""42.78""","""1624688157345091254""","""1624688157345134034"""
116/BNTrainingUpdate_tvmbin,kernel AI core task,4,4965,"""58.15""","""1624688157345134214""","""1624688157345192364"""
117/Relu_tvmbin,kernel AI core task,4,4966,"""29.08""","""1624688157345192474""","""1624688157345221554"""
N/A,memory copy task,4,4967,"""0.91""","""1624688157345221664""","""1624688157345222574"""
122/trans_TransposeD_119_tvmbin,kernel AI core task,4,4968,"""3.79""","""1624688157345222694""","""1624688157345226484"""
122/trans_TransData_120_tvmbin,kernel AI core task,4,4969,"""4.41""","""1624688157345226664""","""1624688157345231074"""
122/DepthwiseConv2D_tvmbin,kernel AI core task,4,4970,"""1390.36""","""1624688157345231184""","""1624688157346621544"""
119/Conv2D_tvmbin,kernel AI core task,4,4971,"""34.65""","""1624688157346621694""","""1624688157346656344"""
N/A,event record task,4,4973,"""0.01""","""1624688157346698004""","""1624688157346698014"""
59/PtAdd_tvmbin,kernel AI core task,4,4974,"""1.32""","""1624688157346698264""","""1624688157346699584"""
115/atomic_addr_clean-1_115_0_tvmbin,kernel AI core task,4,4975,"""1.62""","""1624688157346699704""","""1624688157346701324"""
115/BNTrainingReduce_tvmbin,kernel AI core task,4,4976,"""43.24""","""1624688157346701444""","""1624688157346744684"""
116/BNTrainingUpdate_tvmbin,kernel AI core task,4,4977,"""56.91""","""1624688157346744794""","""1624688157346801704"""
123/Add_tvmbin,kernel AI core task,4,4978,"""63.05""","""1624688157346801814""","""1624688157346864864"""
132/trans_TransData_134_tvmbin,kernel AI core task,4,4979,"""54.09""","""1624688157346864974""","""1624688157346919064"""
132/trans_TransData_135_tvmbin,kernel AI core task,4,4980,"""61.56""","""1624688157346919174""","""1624688157346980734"""
132/trans_TransData_136_tvmbin,kernel AI core task,4,4981,"""58.97""","""1624688157346980854""","""1624688157347039824"""
132/trans_TransData_137_tvmbin,kernel AI core task,4,4982,"""61.21""","""1624688157347039934""","""1624688157347101144"""
132/trans_TransData_138_tvmbin,kernel AI core task,4,4983,"""57.74""","""1624688157347101254""","""1624688157347158994"""
132/trans_TransData_139_tvmbin,kernel AI core task,4,4984,"""60.18""","""1624688157347159144""","""1624688157347219324"""
132/ConcatD_tvmbin,kernel AI core task,4,4985,"""319.27""","""1624688157347219484""","""1624688157347538754"""
130/Relu_tvmbin,kernel AI core task,4,4986,"""317.38""","""1624688157347538914""","""1624688157347856294"""
131/trans_TransData_133_tvmbin,kernel AI core task,4,4987,"""317.99""","""1624688157347856454""","""1624688157348174444"""
131/Conv2D_tvmbin,kernel AI core task,4,4988,"""206.72""","""1624688157348174604""","""1624688157348381324"""
N/A,event record task,4,4990,"""0.01""","""1624688157348428884""","""1624688157348428894"""
59/PtAdd_tvmbin,kernel AI core task,4,4991,"""1.71""","""1624688157348428994""","""1624688157348430704"""
115/atomic_addr_clean-1_115_0_tvmbin,kernel AI core task,4,4992,"""1.36""","""1624688157348430864""","""1624688157348432224"""
115/BNTrainingReduce_tvmbin,kernel AI core task,4,4993,"""43.48""","""1624688157348432334""","""1624688157348475814"""
116/BNTrainingUpdate_tvmbin,kernel AI core task,4,4994,"""48.0""","""1624688157348475924""","""1624688157348523924"""
130/Relu_tvmbin,kernel AI core task,4,4995,"""314.23""","""1624688157348524044""","""1624688157348838274"""
131/trans_TransData_133_tvmbin,kernel AI core task,4,4996,"""319.02""","""1624688157348838424""","""1624688157349157444"""
131/Conv2D_tvmbin,kernel AI core task,4,4997,"""189.84""","""1624688157349157594""","""1624688157349347434"""
N/A,event record task,4,4999,"""0.01""","""1624688157349389384""","""1624688157349389394"""
59/PtAdd_tvmbin,kernel AI core task,4,5000,"""1.5""","""1624688157349389544""","""1624688157349391044"""
115/atomic_addr_clean-1_115_0_tvmbin,kernel AI core task,4,5001,"""1.29""","""1624688157349391204""","""1624688157349392494"""
115/BNTrainingReduce_tvmbin,kernel AI core task,4,5002,"""43.41""","""1624688157349392604""","""1624688157349436014"""
116/BNTrainingUpdate_tvmbin,kernel AI core task,4,5003,"""48.1""","""1624688157349436124""","""1624688157349484224"""
117/Relu_tvmbin,kernel AI core task,4,5004,"""29.82""","""1624688157349484334""","""1624688157349514154"""
N/A,memory copy task,4,5005,"""1.11""","""1624688157349514264""","""1624688157349515374"""
118/trans_TransposeD_114_tvmbin,kernel AI core task,4,5006,"""6.91""","""1624688157349515474""","""1624688157349522384"""
118/trans_TransData_115_tvmbin,kernel AI core task,4,5007,"""5.89""","""1624688157349522494""","""1624688157349528384"""
118/DepthwiseConv2D_tvmbin,kernel AI core task,4,5008,"""1608.87""","""1624688157349528494""","""1624688157351137364"""
119/Conv2D_tvmbin,kernel AI core task,4,5009,"""33.34""","""1624688157351137524""","""1624688157351170864"""
N/A,event record task,4,5011,"""0.0""","""1624688157351204474""","""1624688157351204474"""
59/PtAdd_tvmbin,kernel AI core task,4,5012,"""1.28""","""1624688157351204614""","""1624688157351205894"""
115/atomic_addr_clean-1_115_0_tvmbin,kernel AI core task,4,5013,"""1.32""","""1624688157351206004""","""1624688157351207324"""
115/BNTrainingReduce_tvmbin,kernel AI core task,4,5014,"""43.11""","""1624688157351207434""","""1624688157351250544"""
116/BNTrainingUpdate_tvmbin,kernel AI core task,4,5015,"""48.98""","""1624688157351250654""","""1624688157351299634"""
117/Relu_tvmbin,kernel AI core task,4,5016,"""32.09""","""1624688157351299744""","""1624688157351331834"""
N/A,memory copy task,4,5017,"""0.98""","""1624688157351331984""","""1624688157351332964"""
118/trans_TransposeD_114_tvmbin,kernel AI core task,4,5018,"""7.77""","""1624688157351333064""","""1624688157351340834"""
118/trans_TransData_115_tvmbin,kernel AI core task,4,5019,"""4.96""","""1624688157351340984""","""1624688157351345944"""
118/DepthwiseConv2D_tvmbin,kernel AI core task,4,5020,"""1627.89""","""1624688157351346064""","""1624688157352973954"""
119/Conv2D_tvmbin,kernel AI core task,4,5021,"""33.52""","""1624688157352974104""","""1624688157353007624"""
N/A,event record task,4,5023,"""0.01""","""1624688157353041874""","""1624688157353041884"""
59/PtAdd_tvmbin,kernel AI core task,4,5024,"""1.39""","""1624688157353042034""","""1624688157353043424"""
115/atomic_addr_clean-1_115_0_tvmbin,kernel AI core task,4,5025,"""1.27""","""1624688157353043614""","""1624688157353044884"""
115/BNTrainingReduce_tvmbin,kernel AI core task,4,5026,"""42.96""","""1624688157353045074""","""1624688157353088034"""
116/BNTrainingUpdate_tvmbin,kernel AI core task,4,5027,"""48.84""","""1624688157353088144""","""1624688157353136984"""
117/Relu_tvmbin,kernel AI core task,4,5028,"""70.04""","""1624688157353137094""","""1624688157353207134"""
N/A,memory copy task,4,5029,"""0.97""","""1624688157353207284""","""1624688157353208254"""
122/trans_TransposeD_119_tvmbin,kernel AI core task,4,5030,"""4.09""","""1624688157353208354""","""1624688157353212444"""
122/trans_TransData_120_tvmbin,kernel AI core task,4,5031,"""4.6""","""1624688157353212594""","""1624688157353217194"""
122/DepthwiseConv2D_tvmbin,kernel AI core task,4,5032,"""1385.45""","""1624688157353217304""","""1624688157354602754"""
119/Conv2D_tvmbin,kernel AI core task,4,5033,"""33.73""","""1624688157354602904""","""1624688157354636634"""
N/A,event record task,4,5035,"""0.0""","""1624688157354672854""","""1624688157354672854"""
59/PtAdd_tvmbin,kernel AI core task,4,5036,"""1.33""","""1624688157354673004""","""1624688157354674334"""
