kernel_name,kernel_type,stream_id,task_id,task_time(us),task_start(ns),task_stop(ns)
N/A,event record task,4,372,"""4.72""","""1624688053039459214""","""1624688053039463934"""
N/A,memory copy task,4,374,"""0.01""","""1624688053039541274""","""1624688053039541284"""
N/A,event record task,4,375,"""1.16""","""1624688053039767504""","""1624688053039768664"""
603/AxpyV2_tvmbin,kernel AI core task,4,376,"""3.71""","""1624688053039805544""","""1624688053039809254"""
N/A,event record task,4,378,"""0.01""","""1624688053039890694""","""1624688053039890704"""
N/A,memory copy task,4,379,"""4.18""","""1624688053040185314""","""1624688053040189494"""
547/PtMuls_tvmbin,kernel AI core task,4,381,"""0.01""","""1624688053040268634""","""1624688053040268644"""
N/A,event record task,4,382,"""4.73""","""1624688053040441324""","""1624688053040446054"""
619/trans_TransData_768_tvmbin,kernel AI core task,4,384,"""0.01""","""1624688053040520594""","""1624688053040520604"""
619/trans_TransData_771_tvmbin,kernel AI core task,4,385,"""4.89""","""1624688053040743174""","""1624688053040748064"""
619/trans_TransData_776_tvmbin,kernel AI core task,4,387,"""0.0""","""1624688053040825724""","""1624688053040825724"""
N/A,event record task,4,388,"""3.99""","""1624688053041004494""","""1624688053041008484"""
N/A,memory copy task,4,390,"""0.01""","""1624688053041358754""","""1624688053041358764"""
N/A,event record task,4,391,"""1.43""","""1624688055079370604""","""1624688055079372034"""
603/AxpyV2_tvmbin,kernel AI core task,4,392,"""5.26""","""1624688055079411764""","""1624688055079417024"""
N/A,event record task,4,394,"""0.01""","""1624688055079574374""","""1624688055079574384"""
N/A,memory copy task,4,395,"""6.64""","""1624688055302066294""","""1624688055302072934"""
603/AxpyV2_tvmbin,kernel AI core task,4,397,"""0.01""","""1624688055302244584""","""1624688055302244594"""
N/A,event record task,4,398,"""6.63""","""1624688055302611434""","""1624688055302618064"""
N/A,memory copy task,4,400,"""0.0""","""1624688055302724334""","""1624688055302724334"""
N/A,event record task,4,401,"""7.54""","""1624688055302958984""","""1624688055302966524"""
N/A,event record task,4,403,"""0.01""","""1624688055303214534""","""1624688055303214544"""
N/A,event record task,4,404,"""6.65""","""1624688055303418824""","""1624688055303425474"""
N/A,event record task,4,406,"""0.01""","""1624688055303647534""","""1624688055303647544"""
547/PtMuls_tvmbin,kernel AI core task,4,407,"""1.5""","""1624688055303841724""","""1624688055303843224"""
N/A,event record task,4,408,"""4.28""","""1624688055303880634""","""1624688055303884914"""
619/trans_TransData_768_tvmbin,kernel AI core task,4,410,"""0.01""","""1624688055304080764""","""1624688055304080774"""
619/trans_TransData_771_tvmbin,kernel AI core task,4,411,"""1.29""","""1624688055304301544""","""1624688055304302834"""
619/Add_tvmbin,kernel AI core task,4,412,"""4.14""","""1624688055304331814""","""1624688055304335954"""
N/A,event record task,4,414,"""0.0""","""1624688055304425744""","""1624688055304425744"""
N/A,event record task,4,415,"""6.27""","""1624688055304597334""","""1624688055304603604"""
N/A,event record task,4,417,"""0.01""","""1624688055304678964""","""1624688055304678974"""
603/AxpyV2_tvmbin,kernel AI core task,4,418,"""6.43""","""1624688055304845444""","""1624688055304851874"""
N/A,event record task,4,420,"""0.0""","""1624688055304918954""","""1624688055304918954"""
N/A,memory copy task,4,421,"""6.44""","""1624688055305079444""","""1624688055305085884"""
603/AxpyV2_tvmbin,kernel AI core task,4,423,"""0.0""","""1624688055305154214""","""1624688055305154214"""
N/A,event record task,4,424,"""6.35""","""1624688055305402674""","""1624688055305409024"""
N/A,memory copy task,4,426,"""0.01""","""1624688055305617304""","""1624688055305617314"""
N/A,event record task,4,427,"""1.81""","""1624688057635015124""","""1624688057635016934"""
603/AxpyV2_tvmbin,kernel AI core task,4,428,"""4.42""","""1624688057635055534""","""1624688057635059954"""
N/A,event record task,4,430,"""0.0""","""1624688057635153234""","""1624688057635153234"""
N/A,memory copy task,4,431,"""7.55""","""1624688057635552874""","""1624688057635560424"""
547/PtMuls_tvmbin,kernel AI core task,4,433,"""0.0""","""1624688057635681384""","""1624688057635681384"""
N/A,event record task,4,434,"""6.21""","""1624688057636006584""","""1624688057636012794"""
619/trans_TransData_768_tvmbin,kernel AI core task,4,436,"""0.01""","""1624688057636088584""","""1624688057636088594"""
619/trans_TransData_771_tvmbin,kernel AI core task,4,437,"""7.46""","""1624688057636314314""","""1624688057636321774"""
619/trans_TransData_776_tvmbin,kernel AI core task,4,439,"""0.0""","""1624688057636385014""","""1624688057636385014"""
N/A,event record task,4,440,"""7.57""","""1624688057636673364""","""1624688057636680934"""
N/A,memory copy task,4,442,"""0.01""","""1624688057636886124""","""1624688057636886134"""
N/A,event record task,4,443,"""1.34""","""1624688057637166264""","""1624688057637167604"""
603/AxpyV2_tvmbin,kernel AI core task,4,444,"""5.21""","""1624688057637220374""","""1624688057637225584"""
N/A,event record task,4,446,"""0.0""","""1624688057637294814""","""1624688057637294814"""
N/A,memory copy task,4,447,"""6.85""","""1624688057637517934""","""1624688057637524784"""
603/AxpyV2_tvmbin,kernel AI core task,4,449,"""0.01""","""1624688057637591684""","""1624688057637591694"""
N/A,event record task,4,450,"""7.65""","""1624688057637786894""","""1624688057637794544"""
N/A,memory copy task,4,452,"""0.0""","""1624688057637885824""","""1624688057637885824"""
N/A,event record task,4,453,"""6.73""","""1624688057638132994""","""1624688057638139724"""
N/A,event record task,4,455,"""0.0""","""1624688057638223984""","""1624688057638223984"""
N/A,event record task,4,456,"""7.56""","""1624688057638488134""","""1624688057638495694"""
N/A,event record task,4,458,"""0.01""","""1624688057638681224""","""1624688057638681234"""
547/PtMuls_tvmbin,kernel AI core task,4,459,"""1.33""","""1624688057638976134""","""1624688057638977464"""
N/A,event record task,4,460,"""5.4""","""1624688057639140834""","""1624688057639146234"""
619/trans_TransData_768_tvmbin,kernel AI core task,4,462,"""0.0""","""1624688057639232974""","""1624688057639232974"""
619/trans_TransData_771_tvmbin,kernel AI core task,4,463,"""6.79""","""1624688057639476964""","""1624688057639483754"""
619/trans_TransData_776_tvmbin,kernel AI core task,4,465,"""0.01""","""1624688057639551794""","""1624688057639551804"""
N/A,event record task,4,466,"""7.51""","""1624688057639757004""","""1624688057639764514"""
N/A,memory copy task,4,468,"""0.0""","""1624688057639825864""","""1624688057639825864"""
N/A,event record task,4,469,"""6.8""","""1624688057640012564""","""1624688057640019364"""
N/A,event record task,4,471,"""0.01""","""1624688057640095974""","""1624688057640095984"""
N/A,event record task,4,472,"""6.88""","""1624688057640420674""","""1624688057640427554"""
N/A,event record task,4,474,"""0.01""","""1624688057640617344""","""1624688057640617354"""
603/AxpyV2_tvmbin,kernel AI core task,4,475,"""1.23""","""1624688057640843574""","""1624688057640844804"""
N/A,event record task,4,476,"""5.25""","""1624688057640878284""","""1624688057640883534"""
N/A,memory copy task,4,478,"""0.01""","""1624688057640954554""","""1624688057640954564"""
N/A,event record task,4,479,"""7.59""","""1624688057641168904""","""1624688057641176494"""
N/A,event record task,4,481,"""0.0""","""1624688057641504184""","""1624688057641504184"""
N/A,event record task,4,482,"""7.49""","""1624688057641731294""","""1624688057641738784"""
N/A,event record task,4,484,"""0.01""","""1624688057641813444""","""1624688057641813454"""
547/PtMuls_tvmbin,kernel AI core task,4,485,"""6.62""","""1624688057642029224""","""1624688057642035844"""
N/A,event record task,4,487,"""0.01""","""1624688057642100374""","""1624688057642100384"""
619/trans_TransData_768_tvmbin,kernel AI core task,4,488,"""6.57""","""1624688057642498234""","""1624688057642504804"""
619/Add_tvmbin,kernel AI core task,4,490,"""0.01""","""1624688057642699414""","""1624688057642699424"""
619/trans_TransData_776_tvmbin,kernel AI core task,4,491,"""1.23""","""1624688057642945554""","""1624688057642946784"""
N/A,event record task,4,492,"""5.03""","""1624688057642975664""","""1624688057642980694"""
N/A,memory copy task,4,494,"""0.01""","""1624688057643055334""","""1624688057643055344"""
N/A,event record task,4,495,"""6.51""","""1624688057643271004""","""1624688057643277514"""
N/A,event record task,4,497,"""0.0""","""1624688057643376584""","""1624688057643376584"""
N/A,event record task,4,498,"""7.67""","""1624688057643691404""","""1624688057643699074"""
N/A,event record task,4,500,"""0.01""","""1624688057643767694""","""1624688057643767704"""
603/AxpyV2_tvmbin,kernel AI core task,4,501,"""7.76""","""1624688057643958814""","""1624688057643966574"""
N/A,event record task,4,503,"""0.01""","""1624688057644027994""","""1624688057644028004"""
N/A,memory copy task,4,504,"""6.56""","""1624688057644297534""","""1624688057644304094"""
603/AxpyV2_tvmbin,kernel AI core task,4,506,"""0.0""","""1624688057644487204""","""1624688057644487204"""
N/A,event record task,4,507,"""1.24""","""1624688057644836164""","""1624688057644837404"""
N/A,event record task,4,508,"""5.08""","""1624688057644873754""","""1624688057644878834"""
N/A,event record task,4,510,"""0.01""","""1624688057644947474""","""1624688057644947484"""
547/PtMuls_tvmbin,kernel AI core task,4,511,"""7.1""","""1624688057645147464""","""1624688057645154564"""
N/A,event record task,4,513,"""0.0""","""1624688057645228994""","""1624688057645228994"""
619/trans_TransData_768_tvmbin,kernel AI core task,4,514,"""7.31""","""1624688057645448084""","""1624688057645455394"""
619/Add_tvmbin,kernel AI core task,4,516,"""0.01""","""1624688057645561124""","""1624688057645561134"""
619/trans_TransData_776_tvmbin,kernel AI core task,4,517,"""6.57""","""1624688057645891644""","""1624688057645898214"""
N/A,event record task,4,519,"""0.01""","""1624688057645979594""","""1624688057645979604"""
N/A,memory copy task,4,520,"""6.71""","""1624688057646253394""","""1624688057646260104"""
603/AxpyV2_tvmbin,kernel AI core task,4,522,"""0.01""","""1624688057646444254""","""1624688057646444264"""
N/A,event record task,4,523,"""1.23""","""1624688057646755334""","""1624688057646756564"""
N/A,event record task,4,524,"""4.79""","""1624688057646787724""","""1624688057646792514"""
N/A,event record task,4,526,"""0.01""","""1624688057646984054""","""1624688057646984064"""
603/AxpyV2_tvmbin,kernel AI core task,4,527,"""6.85""","""1624688057647224334""","""1624688057647231184"""
N/A,event record task,4,529,"""0.0""","""1624688057647300134""","""1624688057647300134"""
N/A,memory copy task,4,530,"""6.67""","""1624688057647497114""","""1624688057647503784"""
603/AxpyV2_tvmbin,kernel AI core task,4,532,"""0.01""","""1624688057647567324""","""1624688057647567334"""
N/A,event record task,4,533,"""7.2""","""1624688057647880334""","""1624688057647887534"""
N/A,memory copy task,4,535,"""0.01""","""1624688057647957574""","""1624688057647957584"""
N/A,event record task,4,536,"""7.46""","""1624688057648271944""","""1624688057648279404"""
N/A,event record task,4,538,"""0.0""","""1624688057648462264""","""1624688057648462264"""
N/A,event record task,4,539,"""1.23""","""1624688057648690044""","""1624688057648691274"""
619/trans_TransData_768_tvmbin,kernel AI core task,4,540,"""4.83""","""1624688057648724094""","""1624688057648728924"""
619/Add_tvmbin,kernel AI core task,4,542,"""0.01""","""1624688057648819424""","""1624688057648819434"""
619/trans_TransData_776_tvmbin,kernel AI core task,4,543,"""7.62""","""1624688057649036484""","""1624688057649044104"""
N/A,event record task,4,545,"""0.0""","""1624688057649110344""","""1624688057649110344"""
