Model Name,OP Type,Core Type,Count,Total Time(us),Min Time(us),Avg Time(us),Max Time(us),Ratio(%)
588,ZerosLike,AI Core,57,585.52,0.0,10.272,173.74,100.0
589,ZerosLike,AI Core,57,593.25,0.0,10.407,172.22,100.0
59,PtAdd,AI Core,608,39973.13,0.0,65.745,6294.66,100.0
590,ZerosLike,AI Core,5,53.52,1.21,10.704,38.53,100.0
591,ZerosLike,AI Core,248,6784.6,0.0,27.357,1387.82,100.0
592,ZerosLike,AI Core,4,41.02,0.01,10.255,38.51,100.0
593,ZerosLike,AI Core,307,8974.93,0.0,29.234,1534.91,100.0
594,ZerosLike,AI Core,6,145.66,0.01,24.276,71.14,100.0
595,ZerosLike,AI Core,309,9253.45,0.0,29.946,1749.59,100.0
596,ZerosLike,AI Core,5,14.24,1.05,2.848,8.11,100.0
597,AxpyV2,AI Core,15,89.97,1.2,5.998,26.98,100.0
598,AxpyV2,AI Core,153,1789.65,0.0,11.697,234.66,100.0
599,AxpyV2,AI Core,175,1236.9,0.0,7.068,126.16,100.0
6,TransData,AI Core,48,209.42,3.99,4.362,4.94,100.0
60,BNTrainingReduce,AI Core,4,845.47,1.47,211.367,408.88,95.800709
60,AtomicAddrClean,AI Core,4,37.06,1.2,9.265,32.67,4.199291
600,TransData,AI Core,5,15.81,0.0,3.162,7.87,55.376532
600,AxpyV2,AI Core,5,12.74,0.01,2.548,4.8,44.623468
601,AxpyV2,AI Core,5,5.43,0.01,1.086,1.63,100.0
602,AxpyV2,AI Core,5,62.01,0.0,12.402,42.32,83.101045
602,TransData,AI Core,5,12.61,0.0,2.522,4.97,16.898955
603,AxpyV2,AI Core,964,50065.05,0.0,51.934,3136.2,100.0
604,AxpyV2,AI Core,5,61.93,0.0,12.386,42.89,81.401157
604,TransData,AI Core,5,14.15,0.01,2.83,9.89,18.598843
605,AxpyV2,AI Core,5,9.39,0.01,1.878,4.33,100.0
606,AxpyV2,AI Core,5,26.07,0.01,5.214,17.01,59.075459
606,TransData,AI Core,5,18.06,0.01,3.612,7.69,40.924541
607,AxpyV2,AI Core,1275,79008.97,0.0,61.967,6238.25,100.0
608,AxpyV2,AI Core,8,234.9,0.01,29.362,190.91,94.572832
608,TransData,AI Core,7,13.48,0.01,1.925,5.63,5.427168
609,AxpyV2,AI Core,8,40.62,1.02,5.077,28.96,100.0
61,BNTrainingUpdate,AI Core,4,1477.46,3.87,369.365,612.21,100.0
610,AxpyV2,AI Core,8,285.66,0.0,35.707,224.14,75.322347
610,TransData,AI Core,7,93.59,0.01,13.37,38.66,24.677653
611,AxpyV2,AI Core,1318,63610.49,0.0,48.262,24340.92,100.0
612,TransData,AI Core,7,15.84,1.24,2.262,4.46,54.866644
612,AxpyV2,AI Core,7,13.03,0.01,1.861,4.49,45.133356
613,AxpyV2,AI Core,7,55.73,1.14,7.961,23.86,100.0
614,AxpyV2,AI Core,7,689.57,1.15,98.51,676.65,96.283109
614,TransData,AI Core,8,26.62,1.07,3.327,10.28,3.716891
615,Add,AI Core,5,43.81,1.31,8.762,38.3,100.0
616,Add,AI Core,87,2199.42,0.0,25.28,1749.25,56.695434
616,TransData,AI Core,194,1679.94,0.0,8.659,252.38,43.304566
617,TransData,AI Core,197,1192.77,0.0,6.054,126.75,64.324196
617,Add,AI Core,88,661.54,0.0,7.517,129.64,35.675804
618,Add,AI Core,7,12.53,0.0,1.79,6.27,100.0
619,TransData,AI Core,1116,55652.77,0.0,49.868,6238.25,84.559003
619,Add,AI Core,419,10162.54,0.0,24.254,1925.56,15.440997
62,Relu,AI Core,20,6139.32,0.0,306.966,604.6,100.0
620,Add,AI Core,5,7.91,0.0,1.582,3.66,100.0
621,TransData,AI Core,1704,92458.45,0.0,54.259,4397.8,71.12955
621,Add,AI Core,543,37527.54,0.0,69.111,6279.9,28.87045
622,Add,AI Core,8,9.79,0.01,1.223,2.16,100.0
623,Add,AI Core,508,72587.97,0.0,142.889,29293.67,100.0
624,Add,AI Core,9,1492.33,0.0,165.814,1385.14,100.0
63,Conv2D,AI Core,2,923.88,458.58,461.94,465.3,100.0
64,BNTrainingReduce,AI Core,4,445.0,1.34,111.25,207.41,82.528143
64,AtomicAddrClean,AI Core,4,94.21,1.2,23.552,90.13,17.471857
65,BNTrainingUpdate,AI Core,4,876.75,1.49,219.187,311.41,100.0
66,Relu,AI Core,4,627.48,1.33,156.87,303.31,100.0
67,DepthwiseConv2D,AI Core,4,4527.29,0.0,1131.822,2180.04,98.818273
67,TransData,AI Core,3,44.14,4.54,14.713,34.12,0.963455
67,TransposeD,AI Core,4,10.0,0.01,2.5,4.32,0.218272
68,Conv2D,AI Core,27,1751.83,0.01,64.882,116.82,100.0
69,BNTrainingReduce,AI Core,36,1200.04,0.0,33.334,56.3,59.748071
69,AtomicAddrClean,AI Core,37,808.46,0.87,21.85,254.86,40.251929
